Competition,Sex,Event,Year,Venue,Round,Heat,Wind,Sprinter,FT,RT,Result,RuleChange
Worlds,Mens,60m,2010,Doha,2,1,NA,Reza GHASEMI,6.8,0.202,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,2,2,NA,Trell KIMMONS,6.55,0.15,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,2,2,NA,Daniel BAILEY,6.62,0.153,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,2,2,NA,Samuel FRANCIS,6.64,0.14,FastestQualifier,2010-2014
Worlds,Mens,60m,2010,Doha,2,2,NA,Ibrahim KABIA,6.65,0.185,FastestQualifier,2010-2014
Worlds,Mens,60m,2010,Doha,2,2,NA,Ogho-Oghene EGWERO,6.68,0.17,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,2,2,NA,Pascal MANCINI,6.7,0.109,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,2,2,NA,Aleksandr VASHURKIN,6.77,0.168,Eliminated,2010-2014
Worlds,Mens,60m,2010,Doha,2,2,NA,Harry AIKINES-ARYEETEY,NA,0.129,DNF,2010-2014
Worlds,Mens,60m,2010,Doha,2,3,NA,Mike RODGERS,6.56,0.171,Qualified,2010-2014
Worlds,Mens,60m,2010,Doha,2,3,NA,Ronald POGNON,6.64,0.155,Qualified,2010-2014
